2	0.0111377	0.168902
3.9	0.714396	0.0584036
5.8	0.886432	0.0150906
7.7	0.953571	0.00798055
9.6	0.96506	0.00513558
11.5	0.942832	0.00353648
13.4	0.901962	0.00275609
15.3	0.851644	0.00169687
17.2	0.797262	0.0014092
19.1	0.742079	0.00121531
21	0.688047	0.0009036
22.9	0.63635	0.000622715
24.8	0.587446	0.000650007
26.7	0.541661	0.000630656
28.6	0.499031	0.000536749
30.5	0.459486	0.000508474
32.4	0.422882	0.000418339
34.3	0.389082	0.000354631
36.2	0.357905	0.000338772
38.1	0.329155	0.000302677
40	0.302651	0.000300501
