  5.0000000E+00  2.3566127E-01
  7.0000000E+00  2.7260426E-01
  9.0000000E+00  2.8888742E-01
  1.1000000E+01  2.9222802E-01
  1.3000000E+01  2.8770003E-01
  1.5000000E+01  2.7853173E-01
  1.7000000E+01  2.6675821E-01
  1.9000000E+01  2.5366161E-01
  2.1000000E+01  2.4004882E-01
  2.3000000E+01  2.2642463E-01
  2.5000000E+01  2.1310015E-01
  2.7000000E+01  2.0026153E-01
  2.9000000E+01  1.8801352E-01
  3.1000000E+01  1.7640816E-01
  3.3000000E+01  1.6546416E-01
  3.5000000E+01  1.5517673E-01
  3.7000000E+01  1.4552920E-01
  3.9000000E+01  1.3649615E-01
  4.1000000E+01  1.2804520E-01
  4.3000000E+01  1.2014652E-01
  4.5000000E+01  1.1276304E-01
  4.7000000E+01  1.0586470E-01
  4.9000000E+01  9.9418428E-02
  5.1000000E+01  9.3393558E-02
  5.3000000E+01  8.7763827E-02
  5.5000000E+01  8.2496895E-02
  5.7000000E+01  7.7569523E-02
  5.9000000E+01  7.2953213E-02
  6.1000000E+01  6.8639834E-02
  6.3000000E+01  6.4588412E-02
  6.5000000E+01  6.0796341E-02
  6.7000000E+01  5.7240491E-02
  6.9000000E+01  5.3904530E-02
  7.1000000E+01  5.0773349E-02
  7.3000000E+01  4.7832968E-02
  7.5000000E+01  4.5070466E-02
  7.7000000E+01  4.2473855E-02
  7.9000000E+01  4.0032078E-02
  8.1000000E+01  3.7734876E-02
  8.3000000E+01  3.5572745E-02
  8.5000000E+01  3.3536880E-02
  8.7000000E+01  3.1619117E-02
  8.9000000E+01  2.9811869E-02
  9.1000000E+01  2.8108129E-02
  9.3000000E+01  2.6501337E-02
